tid,attrName,label,ec-missing-value,ec-default-value,ec-top-value,ec-valid-number,ec-cardinality-vio,ec-lookup-attr,ec-valid-data-type,ec-unused-column,ec-pattern-value,ec-value-len,ec-value-len-Hampelx84,ec-value-len-evt,ec-value-len-1-5-IQR,ec-value-len-z-test,ec-value-len-trimmed-range,ec-value-len-winsorized-range
1103,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1196,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1198,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
122,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1231,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1234,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1237,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
128,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1290,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
13,tid,0,-1,-1,1,-1,0,0,0,0,0,1,1,0,1,0,1,1
1310,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1318,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1327,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1340,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1360,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
141,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1413,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
142,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1424,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1437,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1438,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
148,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1529,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1547,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1553,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1560,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1567,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1569,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
159,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1626,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1644,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1646,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1652,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1656,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1681,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
17,tid,0,-1,-1,1,-1,0,0,0,0,0,1,1,0,1,0,1,1
1703,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1718,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1744,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1749,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1768,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1824,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1842,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1890,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1946,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1950,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1953,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1960,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1962,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1990,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2003,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2009,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2065,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2101,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
212,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
2120,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2138,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
216,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
2162,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2176,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2180,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2199,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2224,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2277,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
228,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
2282,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2323,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2335,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2347,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
24,tid,0,-1,-1,1,-1,0,0,0,0,0,1,1,0,1,0,1,1
274,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
282,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
289,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
298,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
313,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
344,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
354,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
362,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
367,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
383,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
400,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
408,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
438,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
440,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
479,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
483,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
527,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
555,tid,0,-1,-1,1,-1,1,0,0,0,0,0,1,0,1,0,0,0
577,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
590,tid,0,-1,-1,1,-1,1,0,0,0,0,0,1,0,1,0,0,0
596,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
599,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
600,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
627,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
63,tid,0,-1,-1,1,-1,0,0,0,0,0,1,1,0,1,0,1,1
632,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
64,tid,0,-1,-1,1,-1,0,0,0,0,0,1,1,0,1,0,1,1
640,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
666,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
67,tid,0,-1,-1,1,-1,1,0,0,0,0,1,1,0,1,0,1,1
692,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
7,tid,0,-1,-1,1,-1,0,0,0,0,0,1,1,0,1,1,1,1
705,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
743,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
746,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
771,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
778,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
830,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
832,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
866,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
869,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
874,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
902,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
905,tid,0,-1,-1,1,-1,1,0,0,0,0,0,1,0,1,0,0,0
921,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
926,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
928,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
942,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
968,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
972,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
991,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
2370,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1029,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1459,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1695,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1760,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2055,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2102,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
326,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
837,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1158,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
542,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1003,tid,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1093,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1221,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1400,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
143,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1975,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2032,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2111,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2234,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2318,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2341,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
458,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
494,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
654,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
66,tid,0,-1,-1,1,-1,0,0,0,0,0,1,1,0,1,0,1,1
673,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
724,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
831,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
894,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1137,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2314,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
588,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1025,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1033,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1086,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1121,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1139,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1157,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1214,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1273,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1441,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1487,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1603,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1706,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
175,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1854,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1877,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1908,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1931,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2012,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2081,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2089,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2096,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2239,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2261,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
370,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
375,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
448,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
504,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
567,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
608,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
650,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
696,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
740,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
750,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
774,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
917,tid,0,-1,-1,1,-1,1,0,0,0,0,0,1,0,1,0,0,0
919,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
155,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1620,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1979,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
805,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
890,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1046,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1095,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1114,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1135,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1142,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1160,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1229,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1314,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1324,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
